@TYPE	xy	xy	xy
@	subtitle	subtitle	subtitle
13,6800003	0,3113447	0,1840816	0,2233365
13,7200003	0,2967393	0,1813301	0,2143018
13,7600002	0,2724215	0,1738264	0,2057904
13,8000002	0,299249	0,1750877	0,2240318
13,8400011	0,2735349	0,1639679	0,2264407
13,8800011	0,3572527	0,1762474	0,2293263
13,920001	0,3001549	0,1806585	0,2151185
13,960001	0,2940821	0,1746701	0,2131186
14,000001	0,2939847	0,1821222	0,206231
14,0400009	0,2941104	0,1711123	0,2026223
14,0800009	0,3102193	0,1636951	0,211877
14,1200008	0,3774723	0,1834401	0,2131213
14,1600008	0,2860042	0,1883439	0,2078912
14,2000008	0,2975152	0,1827815	0,2131684
14,2400007	0,2759717	0,1669035	0,2326679
14,2800007	0,3007836	0,1654519	0,2104786
14,3200006	0,2633813	0,1635752	0,2251044
14,3600006	0,2700162	0,1578133	0,2285129
14,4000006	0,2847791	0,1693328	0,2122272
14,4400005	0,278699	0,1481951	0,2139432
14,4800005	0,2480472	0,1800067	0,2126123
14,5200005	0,3064506	0,1878146	0,2167478
14,5600004	0,2708983	0,173607	0,2278257
14,6000004	0,2316058	0,1698871	0,2293798
14,6400003	0,2286631	0,1645661	0,2189224
14,6800003	0,2835525	0,1687721	0,2147158
14,7200003	0,2614512	0,180253	0,2233244
14,7600002	0,2583322	0,1786548	0,2208023
14,8000011	0,2204272	0,1874432	0,2194529
14,8400011	0,2547877	0,1861518	0,2057328
14,8800011	0,2571997	0,1788846	0,201982
14,920001	0,2711507	0,2017653	0,2095324
14,960001	0,3035682	0,1802253	0,2035404
15,000001	0,3156381	0,185223	0,2010834
15,0400009	0,2517048	0,1665735	0,2011211
15,0800009	0,2651096	0,1630796	0,2093576
15,1200008	0,2893121	0,1919013	0,2062313
15,1600008	0,3403539	0,1953655	0,2232021
15,2000008	0,3488299	0,1865385	0,2208271
15,2400007	0,338473	0,1905446	0,213114
15,2800007	0,3058782	0,1750588	0,1935687
15,3200006	0,3231018	0,19169	0,199366
15,3600006	0,293355	0,1830696	0,2060802
15,4000006	0,3005794	0,1866146	0,213984
15,4400005	0,2589673	0,1849391	0,2057287
15,4800005	0,2947364	0,1892202	0,1991525
15,5200005	0,2730387	0,1830323	0,2113867
15,5600004	0,2559195	0,1716475	0,2329
15,6000004	0,2535166	0,1827337	0,2199361
15,6400003	0,2655544	0,1664998	0,2029687
15,6800003	0,2374934	0,177341	0,2142351
15,7200012	0,3143282	0,1720174	0,2183269
15,7600012	0,3114344	0,1738569	0,2046191
15,8000011	0,3416979	0,1765909	0,2133509
15,8400011	0,2965866	0,1887577	0,216326
15,8800011	0,352072	0,1841271	0,211842
15,920001	0,3554659	0,1824468	0,2181634
15,960001	0,2989016	0,1765576	0,2000106
16	0,3040754	0,1651317	0,2017684
16,0400009	0,387063	0,1787151	0,2105038
16,0799999	0,3451165	0,1668405	0,2043521
16,1200008	0,3594018	0,1872003	0,2049686
16,1599998	0,3454918	0,1761378	0,1969737
16,2000008	0,271522	0,170188	0,1978253
16,2400017	0,3282041	0,1627867	0,1985783
