@TYPE	VH+VL	VH	VL	CD20	
@	Y105A	Y105A	Y105A	Y105A	
13,8400011	0,1203641	0,1090285	0,130133	0,1344051	
13,8800011	0,1263735	0,1164907	0,1266251	0,1156107	
13,920001	0,1338529	0,1173959	0,1387033	0,1244216	
13,960001	0,1361707	0,1231187	0,1383738	0,1302045	
14,000001	0,1234728	0,1206405	0,1224806	0,1226266	
14,0400009	0,1351925	0,12303	0,1267886	0,1282465	
14,0800009	0,1328978	0,1090381	0,1261015	0,134481	
14,1200008	0,1341939	0,1020112	0,1322085	0,1287192	
14,1600008	0,1314991	0,1032225	0,1395275	0,1191052	
14,2000008	0,1429488	0,1202256	0,1384373	0,1304832	
14,2400007	0,1334261	0,1222904	0,1218028	0,1126478	
14,2800007	0,1340633	0,1161867	0,1398406	0,1403545	
14,3200006	0,1305606	0,1129662	0,1374094	0,1332022	
14,3600006	0,1300925	0,123649	0,1184169	0,1255142	
14,4000006	0,1242257	0,1063734	0,1325556	0,132604	
14,4400005	0,1454577	0,1351607	0,1275295	0,1371152	
14,4800005	0,1257108	0,1196089	0,1283698	0,1299295	
14,5200005	0,1342723	0,1230776	0,1176579	0,1283848	
14,5600004	0,1353157	0,1296	0,1214343	0,1164999	
14,6000004	0,1243096	0,1217433	0,1157753	0,1252203	
14,6400003	0,1219409	0,1116946	0,1234846	0,1223816	
14,6800003	0,1364163	0,1317246	0,1311473	0,117924	
14,7200003	0,1335352	0,1237398	0,123837	0,1189586	
14,7600002	0,1301042	0,1375524	0,1058051	0,1332443	
14,8000011	0,1257669	0,1269107	0,1126278	0,1289536	
14,8400011	0,1313704	0,1316113	0,1265292	0,1528056	
14,8800011	0,1302753	0,1126465	0,1183699	0,147977	
14,920001	0,1463814	0,1455682	0,1317303	0,1454754	
14,960001	0,1379308	0,1383116	0,132033	0,1372262	
15,000001	0,1295515	0,1146115	0,1285416	0,13647	
15,0400009	0,1324853	0,1249854	0,1337582	0,1459507	
15,0800009	0,1378528	0,1377965	0,1297568	0,1430592	
15,1200008	0,12749	0,1271362	0,123048	0,1408053	
15,1600008	0,1306052	0,1281001	0,1251936	0,1383924	
15,2000008	0,1476484	0,1309026	0,142698	0,1444193	
15,2400007	0,1325586	0,1232172	0,1304052	0,1557243	
15,2800007	0,1417541	0,1385774	0,1205176	0,142952	
15,3200006	0,1193726	0,1202425	0,1119945	0,1438571	
15,3600006	0,1326369	0,1176742	0,119695	0,1305181	
15,4000006	0,1298119	0,1217062	0,1233757	0,1380037	
15,4400005	0,1389041	0,1238142	0,1424671	0,1275938	
15,4800005	0,1307261	0,1272917	0,1292517	0,1349533	
15,5200005	0,140475	0,1289946	0,1306504	0,1368732	
15,5600004	0,1298323	0,1096406	0,1400185	0,140702	
15,6000004	0,1273733	0,1213397	0,1255729	0,1486214	
15,6400003	0,1487564	0,1192537	0,1394407	0,1399173	
15,6800003	0,1374585	0,1145891	0,1324641	0,1513694	
15,7200012	0,135107	0,118814	0,1304336	0,1408559	
15,7600012	0,1398619	0,1185172	0,1403823	0,1402607	
